card,decks_present_in,total_copies,status,bucket,suggested_registry,oracle_summary
Mine Collapse,1,1,registered,SPELL,SPELL_EFFECTS,
Mistcaller,1,1,registered,ETB,ETB_EFFECTS,
Nourishing Shoal,1,1,registered,SPELL,SPELL_EFFECTS,
Postmaster Pell,1,1,registered,ETB,ETB_EFFECTS,
Ranger-Captain of Eos,1,1,registered,ETB,ETB_EFFECTS,
Reckless Air Strike,1,1,registered,SPELL,SPELL_EFFECTS,
Reclamation Sage,1,1,registered,ETB,ETB_EFFECTS,
Relic of Progenitus,1,1,registered,ETB,ETB_EFFECTS,
Romantic Rendezvous,1,1,registered,SPELL,SPELL_EFFECTS,
Shadowspear,1,1,registered,ETB,ETB_EFFECTS,
Shardless Agent,1,1,registered,ETB,ETB_EFFECTS,
Silence,1,1,registered,SPELL,SPELL_EFFECTS,
Sire of Seven Deaths,1,1,registered,ETB,ETB_EFFECTS,
Six,1,1,registered,ETB,ETB_EFFECTS,
Skateboard,1,1,registered,ETB,ETB_EFFECTS,
Soul-Guide Lantern,1,1,registered,ETB,ETB_EFFECTS,
Strike It Rich,1,1,registered,SPELL,SPELL_EFFECTS,
Swan Song,1,1,registered,SPELL,SPELL_EFFECTS,
"Tamiyo, Inquisitive Student",1,1,registered,ETB,ETB_EFFECTS,
"Teferi, Hero of Dominaria",1,1,registered,ETB,ETB_EFFECTS,
The Filigree Sylex,1,1,registered,ETB,ETB_EFFECTS,
The Wandering Emperor,1,1,registered,ETB,ETB_EFFECTS,
The Wandering Minstrel,1,1,registered,ETB,ETB_EFFECTS,
Tishana's Tidebinder,1,1,registered,ETB,ETB_EFFECTS,
Torpor Orb,1,1,registered,ETB,ETB_EFFECTS,
Toxic Deluge,1,1,registered,SPELL,SPELL_EFFECTS,
"Ulamog, the Defiler",1,1,registered,SPELL,SPELL_EFFECTS,
Unlicensed Hearse,1,1,registered,ETB,ETB_EFFECTS,
"Ureni, the Song Unending",1,1,registered,ETB,ETB_EFFECTS,
Vendilion Clique,1,1,registered,ETB,ETB_EFFECTS,
Walking Ballista,1,1,registered,ETB,ETB_EFFECTS,
"Wan Shi Tong, Librarian",1,1,registered,ETB,ETB_EFFECTS,
Welding Jar,1,1,registered,ETB,ETB_EFFECTS,
"Xenagos, God of Revels",1,1,registered,ETB,ETB_EFFECTS,
Zulaport Cutthroat,1,1,registered,ETB,ETB_EFFECTS,
