card,format,decks_present_in,total_copies,bucket,suggested_registry,oracle_summary
"Teferi, Hero of Dominaria",modern,1,1,REGISTERED,ETB,
The Filigree Sylex,modern,1,1,REGISTERED,ETB,
The Wandering Emperor,modern,1,1,REGISTERED,ETB,
The Wandering Minstrel,modern,1,1,REGISTERED,ETB,
Tishana's Tidebinder,modern,1,1,REGISTERED,ETB,
Torpor Orb,modern,1,1,REGISTERED,ETB,
Toxic Deluge,modern,1,1,REGISTERED,SPELL,
"Ulamog, the Defiler",modern,1,1,REGISTERED,SPELL,
Unlicensed Hearse,modern,1,1,REGISTERED,ETB,
Untimely Malfunction,modern,1,1,REGISTERED,SPELL,
Urabrask,modern,1,1,HAS_EFFECTS,ETB_EFFECTS,"First strike | Whenever you cast an instant or sorcery spell, Urabrask deals 1 damage to target o..."
"Ureni, the Song Unending",modern,1,1,REGISTERED,ETB,
Vendilion Clique,modern,1,1,REGISTERED,ETB,
Walking Ballista,modern,1,1,REGISTERED,ETB,
"Wan Shi Tong, Librarian",modern,1,1,REGISTERED,ETB,
Welding Jar,modern,1,1,REGISTERED,ETB,
"Xenagos, God of Revels",modern,1,1,REGISTERED,ETB,
Zulaport Cutthroat,modern,1,1,REGISTERED,ETB,
